Date_ID,Date,year,Month,Quarter,Date_ID.1
DT00123,2017-05-03,2017,5,Q2,DT00123
DT00124,2017-05-04,2017,5,Q2,DT00124
DT00125,2017-05-05,2017,5,Q2,DT00125
DT00126,2017-05-06,2017,5,Q2,DT00126
DT00127,2017-05-07,2017,5,Q2,DT00127
DT00128,2017-05-08,2017,5,Q2,DT00128
DT00129,2017-05-09,2017,5,Q2,DT00129
DT00130,2017-05-10,2017,5,Q2,DT00130
DT00131,2017-05-11,2017,5,Q2,DT00131
DT00132,2017-05-12,2017,5,Q2,DT00132
DT00133,2017-05-13,2017,5,Q2,DT00133
DT00134,2017-05-14,2017,5,Q2,DT00134
DT00135,2017-05-15,2017,5,Q2,DT00135
DT00136,2017-05-16,2017,5,Q2,DT00136
DT00137,2017-05-17,2017,5,Q2,DT00137
DT00138,2017-05-18,2017,5,Q2,DT00138
DT00139,2017-05-19,2017,5,Q2,DT00139
DT00140,2017-05-20,2017,5,Q2,DT00140
DT00141,2017-05-21,2017,5,Q2,DT00141
DT00142,2017-05-22,2017,5,Q2,DT00142
DT00143,2017-05-23,2017,5,Q2,DT00143
DT00144,2017-05-24,2017,5,Q2,DT00144
DT00145,2017-05-25,2017,5,Q2,DT00145
DT00146,2017-05-26,2017,5,Q2,DT00146
DT00147,2017-05-27,2017,5,Q2,DT00147
DT00148,2017-05-28,2017,5,Q2,DT00148
DT00149,2017-05-29,2017,5,Q2,DT00149
DT00150,2017-05-30,2017,5,Q2,DT00150
DT00151,2017-05-31,2017,5,Q2,DT00151
DT00152,2017-06-01,2017,6,Q2,DT00152
DT00153,2017-06-02,2017,6,Q2,DT00153
DT00154,2017-06-03,2017,6,Q2,DT00154
DT00155,2017-06-04,2017,6,Q2,DT00155
DT00156,2017-06-05,2017,6,Q2,DT00156
DT00157,2017-06-06,2017,6,Q2,DT00157
DT00158,2017-06-07,2017,6,Q2,DT00158
DT00159,2017-06-08,2017,6,Q2,DT00159
DT00160,2017-06-09,2017,6,Q2,DT00160
DT00161,2017-06-10,2017,6,Q2,DT00161
DT00162,2017-06-11,2017,6,Q2,DT00162
DT00163,2017-06-12,2017,6,Q2,DT00163
DT00164,2017-06-13,2017,6,Q2,DT00164
DT00165,2017-06-14,2017,6,Q2,DT00165
DT00166,2017-06-15,2017,6,Q2,DT00166
DT00167,2017-06-16,2017,6,Q2,DT00167
DT00168,2017-06-17,2017,6,Q2,DT00168
DT00169,2017-06-18,2017,6,Q2,DT00169
DT00170,2017-06-19,2017,6,Q2,DT00170
DT00171,2017-06-20,2017,6,Q2,DT00171
DT00172,2017-06-21,2017,6,Q2,DT00172
DT00173,2017-06-22,2017,6,Q2,DT00173
DT00174,2017-06-23,2017,6,Q2,DT00174
DT00175,2017-06-24,2017,6,Q2,DT00175
DT00176,2017-06-25,2017,6,Q2,DT00176
DT00177,2017-06-26,2017,6,Q2,DT00177
DT00178,2017-06-27,2017,6,Q2,DT00178
DT00179,2017-06-28,2017,6,Q2,DT00179
DT00180,2017-06-29,2017,6,Q2,DT00180
DT00181,2017-06-30,2017,6,Q2,DT00181
DT00182,2017-07-01,2017,7,Q3,DT00182
DT00183,2017-07-02,2017,7,Q3,DT00183
DT00184,2017-07-03,2017,7,Q3,DT00184
DT00185,2017-07-04,2017,7,Q3,DT00185
DT00186,2017-07-05,2017,7,Q3,DT00186
DT00187,2017-07-06,2017,7,Q3,DT00187
DT00188,2017-07-07,2017,7,Q3,DT00188
DT00189,2017-07-08,2017,7,Q3,DT00189
DT00190,2017-07-09,2017,7,Q3,DT00190
DT00191,2017-07-10,2017,7,Q3,DT00191
DT00192,2017-07-11,2017,7,Q3,DT00192
DT00193,2017-07-12,2017,7,Q3,DT00193
DT00194,2017-07-13,2017,7,Q3,DT00194
DT00195,2017-07-14,2017,7,Q3,DT00195
DT00196,2017-07-15,2017,7,Q3,DT00196
DT00197,2017-07-16,2017,7,Q3,DT00197
